Temps;Déplacement;Déformation 1;Force
(s);(mm);(%);(kN)
"0,0000";"0,0000";"-0,6562";"-0,1397"
"0,1000";"0,0020";"-0,6548";"-0,0889"
"0,2000";"0,0053";"-0,6525";"0,0000"
"0,3000";"0,0085";"-0,6502";"0,0847"
"0,4000";"0,0116";"-0,6480";"0,1664"
"0,5000";"0,0148";"-0,6459";"0,2504"
"0,6000";"0,0181";"-0,6434";"0,3368"
"0,7000";"0,0213";"-0,6414";"0,4138"
"0,8000";"0,0244";"-0,6394";"0,4893"
"0,9000";"0,0277";"-0,6372";"0,5671"
"1,0000";"0,0309";"-0,6352";"0,6442"
"1,1000";"0,0340";"-0,6332";"0,7171"
"1,2000";"0,0372";"-0,6312";"0,7908"
"1,3000";"0,0404";"-0,6291";"0,8669"
"1,4000";"0,0437";"-0,6271";"0,9418"
"1,5000";"0,0468";"-0,6252";"1,0131"
"1,6000";"0,0501";"-0,6232";"1,0890"
"1,7000";"0,0533";"-0,6211";"1,1622"
"1,8000";"0,0565";"-0,6192";"1,2320"
"1,9000";"0,0596";"-0,6174";"1,3000"
"2,0000";"0,0629";"-0,6154";"1,3690"
"2,1000";"0,0660";"-0,6136";"1,4307"
"2,2000";"0,0692";"-0,6118";"1,4883"
"2,3000";"0,0724";"-0,6102";"1,5459"
"2,4000";"0,0757";"-0,6086";"1,6005"
"2,5000";"0,0789";"-0,6070";"1,6493"
"2,6000";"0,0821";"-0,6056";"1,6978"
"2,7000";"0,0853";"-0,6040";"1,7459"
"2,8000";"0,0885";"-0,6025";"1,7919"
"2,9000";"0,0916";"-0,6010";"1,8328"
"3,0000";"0,0949";"-0,5996";"1,8779"
"3,1000";"0,0981";"-0,5982";"1,9217"
"3,2000";"0,1012";"-0,5968";"1,9617"
"3,3000";"0,1044";"-0,5954";"2,0035"
"3,4000";"0,1077";"-0,5940";"2,0470"
"3,5000";"0,1109";"-0,5926";"2,0857"
"3,6000";"0,1141";"-0,5913";"2,1227"
"3,7000";"0,1173";"-0,5898";"2,1621"
"3,8000";"0,1205";"-0,5885";"2,1990"
"3,9000";"0,1236";"-0,5872";"2,2340"
"4,0000";"0,1268";"-0,5859";"2,2692"
"4,1000";"0,1300";"-0,5845";"2,3078"
"4,2000";"0,1333";"-0,5831";"2,3433"
"4,3000";"0,1364";"-0,5819";"2,3769"
"4,4000";"0,1397";"-0,5805";"2,4126"
"4,5000";"0,1430";"-0,5791";"2,4495"
"4,6000";"0,1461";"-0,5779";"2,4805"
"4,7000";"0,1492";"-0,5766";"2,5142"
"4,8000";"0,1525";"-0,5752";"2,5496"
"4,9000";"0,1557";"-0,5739";"2,5840"
"5,0000";"0,1588";"-0,5727";"2,6151"
"5,1000";"0,1620";"-0,5712";"2,6504"
"5,2000";"0,1653";"-0,5699";"2,6843"
"5,3000";"0,1685";"-0,5687";"2,7181"
"5,4000";"0,1716";"-0,5673";"2,7500"
"5,5000";"0,1749";"-0,5660";"2,7858"
"5,6000";"0,1781";"-0,5646";"2,8183"
"5,7000";"0,1812";"-0,5635";"2,8492"
"5,8000";"0,1844";"-0,5620";"2,8828"
"5,9000";"0,1877";"-0,5607";"2,9179"
"6,0000";"0,1908";"-0,5595";"2,9485"
"6,1000";"0,1940";"-0,5582";"2,9825"
"6,2000";"0,1973";"-0,5568";"3,0185"
"6,3000";"0,2005";"-0,5555";"3,0531"
"6,4000";"0,2037";"-0,5542";"3,0848"
"6,5000";"0,2069";"-0,5529";"3,1201"
"6,6000";"0,2101";"-0,5516";"3,1540"
"6,7000";"0,2133";"-0,5503";"3,1871"
"6,8000";"0,2164";"-0,5490";"3,2193"
"6,9000";"0,2196";"-0,5479";"3,2554"
"7,0000";"0,2229";"-0,5466";"3,2906"
"7,1000";"0,2260";"-0,5453";"3,3229"
"7,2000";"0,2293";"-0,5440";"3,3585"
"7,3000";"0,2326";"-0,5427";"3,3937"
"7,4000";"0,2357";"-0,5415";"3,4247"
"7,5000";"0,2388";"-0,5403";"3,4568"
